layer,bit_position,original_bit,flipped_bit,original_param,flipped_param,original_output,flipped_output,target_output
c1,5,0,1,75,107,9,9,9
c1,5,0,1,19,51,9,9,9
c1,5,1,0,-5,-37,4,4,4
c1,5,0,1,-37,-5,1,1,1
c1,5,1,0,-4,-36,8,8,8
c1,5,1,0,-6,-38,2,2,2
c1,5,1,0,35,3,1,1,1
c1,5,0,1,26,58,2,2,2
c1,5,0,1,-44,-12,9,9,9
c1,5,0,1,21,53,7,7,7
c1,5,0,1,-33,-1,5,5,5
c1,5,0,1,-44,-12,9,9,9
c1,5,0,1,-44,-12,2,2,2
c1,5,1,0,36,4,6,6,6
c1,5,0,1,-53,-21,4,4,4
c1,5,0,1,-37,-5,1,1,1
c1,5,0,1,22,54,5,5,5
c1,5,0,1,-63,-31,8,8,8
c1,5,0,1,-128,-96,2,2,2
c1,5,1,0,-11,-43,9,9,9
c1,5,0,1,23,55,2,2,2
c1,5,1,0,-32,-64,0,0,0
c1,5,1,0,-4,-36,4,4,4
c1,5,1,0,-2,-34,0,0,0
c1,5,0,1,-36,-4,0,0,0
c1,5,1,0,60,28,2,2,2
c1,5,1,0,40,8,8,8,8
c1,5,0,1,-100,-68,4,4,4
c1,5,1,0,-5,-37,7,7,7
c1,5,1,0,-79,-111,1,1,1
c1,5,1,0,-4,-36,2,2,2
c1,5,0,1,-113,-81,4,4,4
c1,5,1,0,-15,-47,0,0,0
c1,5,0,1,23,55,2,2,2
c1,5,0,1,-44,-12,7,7,7
c1,5,0,1,-44,-12,4,4,4
c1,5,1,0,127,95,3,3,3
c1,5,1,0,-7,-39,3,3,3
c1,5,1,0,36,4,0,0,0
c1,5,1,0,-18,-50,0,0,0
c1,5,1,0,-15,-47,3,3,3
c1,5,1,0,-80,-112,1,1,1
c1,5,0,1,14,46,9,9,9
c1,5,1,0,38,6,6,6,6
c1,5,1,0,-11,-43,5,5,5
c1,5,0,1,27,59,3,3,2
c1,5,0,1,80,112,5,5,5
c1,5,0,1,19,51,7,7,9
c1,5,0,1,-44,-12,2,2,2
c1,5,0,1,-127,-95,9,9,9
c1,5,0,1,65,97,3,3,3
c1,5,0,1,10,42,0,0,0
c1,5,1,0,46,14,4,4,4
c1,5,0,1,-44,-12,2,2,2
c1,5,0,1,-42,-10,0,0,0
c1,5,0,1,30,62,7,7,7
c1,5,0,1,-44,-12,1,1,1
c1,5,0,1,-100,-68,1,1,1
c1,5,0,1,-37,-5,2,2,2
c1,5,1,0,-82,-114,1,1,1
c1,5,0,1,-36,-4,5,5,5
c1,5,1,0,45,13,3,3,3
c1,5,0,1,-36,-4,3,3,3
c1,5,1,0,-29,-61,9,9,9
c1,5,1,0,-11,-43,7,7,7
c1,5,1,0,-21,-53,8,8,8
c1,5,1,0,-82,-114,6,6,6
c1,5,1,0,-82,-114,5,5,5
c1,5,0,1,30,62,6,6,6
c1,5,1,0,-20,-52,1,1,1
c1,5,1,0,-30,-62,3,3,3
c1,5,0,1,11,43,8,8,8
c1,5,1,0,-8,-40,1,1,1
c1,5,1,0,-29,-61,0,0,0
c1,5,0,1,30,62,5,5,5
c1,5,1,0,61,29,1,1,1
c1,5,1,0,-2,-34,3,3,3
c1,5,1,0,-9,-41,1,1,1
c1,5,1,0,39,7,5,5,5
c1,5,1,0,32,0,5,5,5
c1,5,1,0,-29,-61,6,6,6
c1,5,1,0,-7,-39,1,1,1
c1,5,0,1,23,55,8,8,8
c1,5,0,1,-48,-16,5,5,5
c1,5,1,0,-4,-36,1,1,1
c1,5,0,1,-34,-2,7,7,7
c1,5,0,1,-59,-27,4,4,9
c1,5,0,1,7,39,4,4,4
c1,5,0,1,18,50,6,6,6
c1,5,0,1,19,51,2,2,2
c1,5,1,0,-21,-53,1,1,2
c1,5,0,1,25,57,5,5,5
c1,5,0,1,24,56,0,0,0
c1,5,1,0,46,14,6,6,6
c1,5,1,0,-30,-62,5,5,5
c1,5,0,1,15,47,6,6,6
c1,5,1,0,46,14,3,3,3
c1,5,1,0,61,29,7,7,7
c1,5,1,0,-11,-43,2,2,2
c1,5,0,1,-128,-96,0,0,0
c1,5,1,0,-17,-49,8,8,8
c1,5,0,1,-37,-5,8,8,8
c1,5,0,1,27,59,5,5,5
c1,5,0,1,-100,-68,4,4,4
c1,5,0,1,9,41,1,1,1
c1,5,0,1,15,47,1,1,1
c1,5,0,1,30,62,4,4,4
c1,5,0,1,25,57,0,0,0
c1,5,0,1,17,49,3,3,3
c1,5,1,0,-18,-50,3,3,3
c1,5,1,0,-65,-97,7,7,7
c1,5,0,1,-33,-1,6,6,6
c1,5,1,0,-20,-52,1,1,1
c1,5,1,0,-26,-58,6,6,6
c1,5,0,1,-102,-70,2,2,2
c1,5,1,0,-16,-48,1,1,1
c1,5,1,0,-65,-97,9,9,9
c1,5,1,0,36,4,2,2,2
c1,5,0,1,-101,-69,2,2,8
c1,5,1,0,-18,-50,6,6,6
c1,5,0,1,-58,-26,1,1,1
c1,5,1,0,36,4,9,9,9
c1,5,0,1,10,42,5,5,5
c1,5,1,0,-8,-40,2,2,2
c1,5,1,0,-9,-41,5,5,5
c1,5,0,1,-44,-12,4,4,4
c1,5,0,1,25,57,4,4,4
c1,5,0,1,-63,-31,2,2,2
c1,5,1,0,46,14,8,8,8
c1,5,0,1,-53,-21,3,3,3
c1,5,1,0,-80,-112,8,8,8
c1,5,0,1,-48,-16,2,2,2
c1,5,0,1,19,51,4,4,4
c1,5,0,1,65,97,5,5,5
c1,5,1,0,-15,-47,0,0,0
c1,5,1,0,-16,-48,3,3,3
c1,5,0,1,-51,-19,1,1,1
c1,5,1,0,-30,-62,7,7,7
c1,5,1,0,-5,-37,7,7,7
c1,5,0,1,22,54,5,5,5
c1,5,1,0,-10,-42,7,7,7
c1,5,0,1,65,97,9,9,9
c1,5,1,0,-2,-34,7,7,7
c1,5,0,1,9,41,1,1,1
c1,5,1,0,-67,-99,4,4,9
c1,5,1,0,-20,-52,2,2,2
c1,5,0,1,-44,-12,1,1,1
c1,5,0,1,24,56,4,4,4
c1,5,0,1,-39,-7,2,2,2
c1,5,1,0,-5,-37,9,9,9
c1,5,1,0,-21,-53,2,2,2
c1,5,1,0,-29,-61,0,0,0
c1,5,1,0,-16,-48,4,4,4
c1,5,1,0,45,13,9,9,9
c1,5,1,0,-65,-97,1,1,1
c1,5,1,0,-18,-50,4,4,4
c1,5,0,1,-128,-96,8,8,8
c1,5,0,1,-63,-31,1,1,1
c1,5,0,1,64,96,8,8,8
c1,5,0,1,14,46,4,4,4
c1,5,1,0,40,8,5,5,5
c1,5,0,1,-46,-14,9,9,9
c1,5,0,1,-50,-18,8,8,8
c1,5,1,0,-4,-36,8,8,8
c1,5,0,1,7,39,3,3,3
c1,5,1,0,-21,-53,7,7,7
c1,5,1,0,-82,-114,6,6,6
c1,5,0,1,65,97,0,0,0
c1,5,0,1,7,39,0,0,0
c1,5,1,0,-8,-40,3,3,3
c1,5,1,0,-79,-111,0,0,0
c1,5,1,0,-9,-41,2,2,2
c1,5,0,1,-41,-9,6,6,6
c1,5,1,0,-30,-62,6,6,6
c1,5,0,1,26,58,1,4,4
c1,5,1,0,32,0,9,9,9
c1,5,1,0,-30,-62,3,3,3
c1,5,0,1,-128,-96,5,5,3
c1,5,0,1,30,62,3,3,3
c1,5,0,1,-36,-4,2,2,2
c1,5,0,1,-128,-96,3,3,3
c1,5,1,0,-67,-99,9,9,9
c1,5,1,0,-72,-104,1,1,1
c1,5,1,0,-11,-43,2,2,2
c1,5,0,1,27,59,5,5,6
c1,5,1,0,-7,-39,8,8,8
c1,5,1,0,-80,-112,0,0,0
c1,5,1,0,-16,-48,5,5,5
c1,5,0,1,30,62,6,6,6
c1,5,1,0,-23,-55,5,5,6
c1,5,1,0,-7,-39,6,6,6
c1,5,0,1,25,57,3,3,3
c1,5,0,1,-58,-26,8,8,8
c1,5,1,0,-29,-61,8,8,8
c1,5,1,0,-96,-128,2,2,2
c1,5,0,1,-51,-19,7,7,7
c1,5,0,1,19,51,5,5,5
c1,5,1,0,32,0,8,8,8
c1,5,0,1,-44,-12,9,9,9
c1,5,0,1,30,62,6,6,6
c1,5,1,0,-1,-33,1,1,1
c1,5,0,1,19,51,8,8,8
c1,5,1,0,-21,-53,4,4,4
c1,5,1,0,-4,-36,1,1,1
c1,5,0,1,-53,-21,2,2,2
c1,5,1,0,-7,-39,5,5,5
c1,5,0,1,17,49,9,9,9
c1,5,0,1,19,51,1,1,1
c1,5,0,1,18,50,9,9,9
c1,5,0,1,-47,-15,7,7,7
c1,5,1,0,61,29,5,5,5
c1,5,0,1,26,58,4,4,4
c1,5,1,0,105,73,0,0,0
c1,5,1,0,-5,-37,8,8,8
c1,5,0,1,-128,-96,9,9,9
c1,5,1,0,-80,-112,9,9,9
c1,5,1,0,55,23,1,1,1
c1,5,1,0,39,7,0,0,0
c1,5,1,0,-80,-112,5,5,5
c1,5,1,0,-30,-62,2,2,2
c1,5,0,1,26,58,3,3,3
c1,5,0,1,15,47,7,7,7
c1,5,1,0,-7,-39,5,6,8
c1,5,1,0,38,6,9,9,9
c1,5,0,1,21,53,4,4,4
c1,5,1,0,-32,-64,0,0,0
c1,5,0,1,-128,-96,6,6,6
c1,5,0,1,15,47,3,3,3
c1,5,1,0,35,3,9,9,9
c1,5,0,1,6,38,5,5,5
c1,5,0,1,-128,-96,2,2,2
c1,5,0,1,-102,-70,1,1,1
c1,5,0,1,-127,-95,3,3,3
c1,5,1,0,60,28,1,1,1
c1,5,1,0,-4,-36,3,3,3
c1,5,1,0,40,8,6,6,6
c1,5,1,0,-30,-62,5,5,5
c1,5,0,1,-128,-96,7,7,7
c1,5,1,0,-1,-33,4,4,4
c1,5,1,0,46,14,2,2,2
c1,5,0,1,80,112,2,2,2
c1,5,1,0,-82,-114,6,6,6
c1,5,0,1,64,96,3,3,3
c1,5,0,1,-58,-26,2,2,2
c1,5,1,0,-82,-114,6,6,6
c1,5,0,1,22,54,5,5,5
c1,5,0,1,-34,-2,4,4,4
c1,5,1,0,-20,-52,8,8,8
c1,5,0,1,-127,-95,9,9,9
c1,5,1,0,61,29,7,7,7
c1,5,0,1,19,51,1,1,1
c1,5,0,1,15,47,3,3,3
c1,5,1,0,-20,-52,0,0,0
c1,5,1,0,-30,-62,3,3,3
c1,5,0,1,10,42,8,8,8
c1,5,1,0,36,4,3,3,3
c1,5,0,1,-128,-96,1,1,1
c1,5,0,1,30,62,9,9,9
c1,5,0,1,30,62,3,3,3
c1,5,0,1,81,113,4,4,4
c1,5,1,0,-10,-42,4,4,4
c1,5,1,0,-96,-128,6,6,6
c1,5,0,1,-58,-26,4,4,4
c1,5,1,0,-1,-33,2,2,2
c1,5,1,0,-82,-114,1,1,1
c1,5,0,1,-50,-18,8,8,8
c1,5,1,0,40,8,2,2,2
c1,5,0,1,19,51,5,5,5
c1,5,0,1,30,62,4,4,4
c1,5,0,1,64,96,8,8,8
c1,5,0,1,75,107,8,8,8
c1,5,1,0,-10,-42,4,4,4
c1,5,1,0,-80,-112,0,0,0
c1,5,0,1,22,54,0,0,0
c1,5,1,0,-4,-36,3,3,2
c1,5,0,1,-39,-7,3,3,3
c1,5,1,0,-15,-47,2,2,2
c1,5,1,0,-22,-54,7,7,7
c1,5,0,1,26,58,7,7,7
c1,5,0,1,-127,-95,0,0,0
c1,5,0,1,-113,-81,8,8,8
c1,5,0,1,-42,-10,7,7,7
c1,5,0,1,23,55,4,4,4
c1,5,1,0,-82,-114,4,4,4
c1,5,0,1,0,32,7,7,7
c1,5,1,0,60,28,9,9,9
c1,5,0,1,-48,-16,6,6,6
c1,5,1,0,-80,-112,9,9,9
c1,5,0,1,-50,-18,0,0,0
c1,5,1,0,-15,-47,9,9,9
c1,5,1,0,55,23,8,8,8
c1,5,1,0,45,13,0,0,0
c1,5,0,1,19,51,4,4,4
c1,5,1,0,-18,-50,6,6,6
c1,5,0,1,-128,-96,0,0,0
c1,5,0,1,-102,-70,6,6,6
c1,5,0,1,-113,-81,3,3,3
c1,5,0,1,10,42,5,5,5
c1,5,1,0,-15,-47,4,4,4
c1,5,1,0,-67,-99,8,8,8
c1,5,0,1,-44,-12,3,3,3
c1,5,0,1,65,97,3,3,3
c1,5,0,1,65,97,9,9,9
c1,5,0,1,14,46,3,3,3
c1,5,0,1,7,39,3,3,3
c1,5,0,1,7,39,3,3,3
c1,5,0,1,23,55,7,7,7
c1,5,0,1,24,56,8,8,8
c1,5,1,0,-80,-112,0,0,0
c1,5,1,0,-21,-53,3,3,8
c1,5,0,1,-101,-69,7,7,2
c1,5,1,0,-20,-52,1,1,1
c1,5,1,0,-4,-36,7,7,7
c1,5,1,0,-18,-50,0,0,0
c1,5,0,1,-44,-12,5,5,6
c1,5,0,1,64,96,5,5,5
c1,5,0,1,-44,-12,4,4,4
c1,5,0,1,-100,-68,3,3,3
c1,5,1,0,-91,-123,8,8,8
c1,5,1,0,-96,-128,0,0,0
c1,5,1,0,-67,-99,9,9,9
c1,5,1,0,38,6,6,6,6
c1,5,1,0,-26,-58,3,3,3
c1,5,1,0,-16,-48,8,8,8
c1,5,0,1,23,55,0,0,0
c1,5,0,1,27,59,9,9,9
c1,5,0,1,24,56,9,9,9
c1,5,1,0,-82,-114,6,6,6
c1,5,1,0,46,14,8,8,8
c1,5,1,0,-82,-114,6,6,6
c1,5,1,0,-7,-39,8,8,8
c1,5,0,1,-37,-5,5,5,5
c1,5,0,1,10,42,7,7,7
c1,5,1,0,36,4,8,8,8
c1,5,1,0,-1,-33,6,6,6
c1,5,0,1,19,51,0,0,0
c1,5,1,0,61,29,2,2,2
c1,5,1,0,-77,-109,6,6,4
c1,5,1,0,40,8,0,0,0
c1,5,0,1,17,49,2,2,2
c1,5,0,1,30,62,2,2,2
c1,5,1,0,-96,-128,3,3,3
c1,5,0,1,-44,-12,1,1,1
c1,5,1,0,45,13,9,9,9
c1,5,1,0,-15,-47,7,7,7
c1,5,0,1,-50,-18,5,5,5
c1,5,1,0,-16,-48,8,8,1
c1,5,1,0,127,95,0,0,0
c1,5,0,1,14,46,8,8,8
c1,5,0,1,80,112,4,4,4
c1,5,1,0,-16,-48,6,6,6
c1,5,1,0,-65,-97,2,2,2
c1,5,1,0,-22,-54,6,6,6
c1,5,1,0,-79,-111,7,7,7
c1,5,0,1,25,57,9,9,9
c1,5,0,1,-33,-1,9,9,3
c1,5,1,0,-11,-43,2,2,2
c1,5,0,1,6,38,9,9,9
c1,5,1,0,-82,-114,8,8,8
c1,5,0,1,27,59,2,2,2
c1,5,1,0,-79,-111,2,2,2
c1,5,0,1,6,38,9,9,9
c1,5,0,1,7,39,2,2,2
c1,5,0,1,-58,-26,7,7,7
c1,5,0,1,9,41,3,3,3
c1,5,1,0,35,3,5,5,5
c1,5,0,1,-33,-1,9,9,9
c1,5,1,0,-11,-43,1,1,1
c1,5,0,1,22,54,8,8,8
c1,5,1,0,-79,-111,0,0,0
c1,5,0,1,-37,-5,2,2,2
c1,5,0,1,14,46,0,0,0
c1,5,1,0,-29,-61,5,5,5
c1,5,0,1,-41,-9,2,2,2
c1,5,0,1,10,42,1,1,1
c1,5,1,0,-11,-43,3,3,3
c1,5,1,0,-1,-33,7,7,7
c1,5,1,0,-30,-62,6,6,6
c1,5,0,1,18,50,7,7,7
c1,5,0,1,-36,-4,1,1,1
c1,5,0,1,-53,-21,2,2,2
c1,5,1,0,34,2,5,5,5
c1,5,0,1,-50,-18,8,8,8
c1,5,0,1,26,58,0,0,0
c1,5,0,1,-102,-70,3,3,3
c1,5,1,0,-65,-97,7,7,7
c1,5,1,0,40,8,2,2,2
c1,5,1,0,-21,-53,4,4,4
c1,5,1,0,45,13,0,0,0
c1,5,0,1,-44,-12,9,9,9
c1,5,0,1,-128,-96,1,1,1
c1,5,0,1,15,47,8,8,8
c1,5,0,1,-102,-70,6,6,6
c1,5,0,1,10,42,7,7,7
c1,5,0,1,-128,-96,1,1,7
c1,5,1,0,-15,-47,4,4,4
c1,5,0,1,80,112,3,3,3
c1,5,0,1,19,51,4,4,4
c1,5,1,0,-21,-53,9,9,9
c1,5,1,0,-22,-54,1,1,1
c1,5,0,1,-53,-21,9,9,9
c1,5,1,0,-29,-61,3,3,5
c1,5,0,1,-55,-23,1,1,1
c1,5,1,0,34,2,7,7,7
c1,5,1,0,-20,-52,3,3,3
c1,5,0,1,-37,-5,9,9,9
c1,5,0,1,22,54,7,7,7
c1,5,0,1,8,40,6,6,6
c1,5,1,0,-4,-36,9,9,9
c1,5,0,1,-44,-12,1,1,1
c1,5,1,0,-32,-64,3,3,3
c1,5,0,1,22,54,3,3,7
c1,5,0,1,7,39,8,8,8
c1,5,0,1,-37,-5,3,3,3
c1,5,0,1,-39,-7,3,3,3
c1,5,1,0,-30,-62,5,5,6
