layer,bit_position,original_bit,flipped_bit,original_param,flipped_param,original_output,flipped_output,target_output
f5,3,1,0,-98,-106,5,5,5
f7,7,1,0,-25,103,1,1,1
f6,7,1,0,-8,120,4,4,4
f6,0,1,0,-29,-30,4,4,4
f6,5,0,1,8,40,7,7,7
f6,1,1,0,3,1,2,2,2
f6,7,1,0,-8,120,3,3,3
f7,4,1,0,21,5,2,2,2
c3,5,1,0,-14,-46,7,7,7
f5,0,1,0,1,0,1,1,1
f6,6,1,0,-18,-82,8,8,8
c3,1,1,0,-25,-27,1,1,1
c3,3,0,1,22,30,8,8,8
f6,5,0,1,-115,-83,1,1,1
f7,0,1,0,-9,-10,8,8,8
c3,0,0,1,-64,-63,5,5,5
c1,4,1,0,87,71,0,0,0
f6,3,0,1,-13,-5,2,2,8
f5,7,1,0,-46,82,9,9,9
f5,6,1,0,-31,-95,2,2,2
f5,3,1,0,-7,-15,5,5,5
f7,1,1,0,11,9,0,0,0
f6,2,1,0,-1,-5,1,1,1
f5,4,0,1,14,30,1,1,1
c3,1,1,0,-81,-83,1,1,1
f6,1,0,1,-84,-82,0,0,0
f6,6,0,1,17,81,9,9,9
c3,3,0,1,-28,-20,0,0,0
f5,0,0,1,-70,-69,3,3,3
c3,4,1,0,-33,-49,1,1,1
f6,4,0,1,13,29,6,6,6
f7,2,0,1,-6,-2,4,4,4
c1,7,1,0,-9,119,2,2,2
c3,3,1,0,-20,-28,3,3,3
c1,6,0,1,22,86,6,6,6
c1,2,0,1,-13,-9,1,1,1
f6,5,0,1,14,46,1,1,1
f7,3,1,0,-6,-14,1,1,1
c3,3,0,1,-45,-37,3,3,3
f7,1,1,0,27,25,9,9,9
f7,7,1,0,-53,75,5,5,5
c1,3,0,1,-12,-4,2,2,2
f7,4,1,0,-4,-20,9,9,9
c1,4,1,0,-7,-23,4,4,4
f7,5,0,1,19,51,5,5,5
c3,6,0,1,-70,-6,9,9,9
f7,6,0,1,16,80,3,3,3
f7,1,0,1,-11,-9,9,9,9
c3,0,1,0,-89,-90,0,0,0
f7,6,1,0,-2,-66,3,3,3
f7,3,0,1,1,9,6,6,6
f6,4,1,0,16,0,5,5,5
c1,2,1,0,87,83,5,5,5
c1,2,1,0,-66,-70,7,7,7
c3,3,0,1,-90,-82,2,2,2
f5,1,0,1,-87,-85,2,2,2
f5,0,1,0,-13,-14,7,7,7
f5,4,0,1,-56,-40,1,1,1
c3,6,1,0,-42,-106,2,2,2
c1,0,0,1,4,5,8,8,8
c3,1,0,1,-64,-62,4,4,4
f6,2,0,1,-24,-20,1,1,1
f5,2,0,1,8,12,7,7,7
c1,2,0,1,-13,-9,3,3,3
c1,0,1,0,37,36,3,3,3
f7,5,1,0,-5,-37,8,8,8
f7,3,0,1,1,9,8,8,8
c1,5,0,1,-47,-15,7,7,7
f5,0,1,0,17,16,9,9,9
f5,1,1,0,-22,-24,2,2,2
f7,0,1,0,1,0,2,2,2
c3,6,1,0,-27,-91,4,4,4
f5,1,1,0,-5,-7,1,1,1
c1,6,0,1,-105,-41,5,5,5
f5,7,1,0,-7,121,9,9,9
f7,3,1,0,11,3,8,8,8
f7,5,0,1,-50,-18,7,7,7
f6,4,1,0,126,110,2,2,2
f6,4,0,1,36,52,3,3,3
f7,1,0,1,-4,-2,0,0,0
f7,5,0,1,11,43,6,6,4
f5,4,0,1,6,22,4,4,4
f5,7,0,1,7,-121,2,2,2
c3,5,1,0,-87,-119,4,4,4
f6,0,0,1,-14,-13,1,1,1
c3,7,1,0,-63,65,9,9,9
f6,1,0,1,-7,-5,5,5,5
f7,5,0,1,24,56,7,7,7
c3,2,0,1,-39,-35,7,7,7
f5,6,1,0,-27,-91,2,2,2
f6,1,0,1,-59,-57,8,8,8
f6,1,0,1,-39,-37,2,2,2
f6,3,1,0,127,119,6,6,6
c3,0,0,1,-14,-13,8,8,8
c1,4,1,0,-4,-20,5,5,5
c3,3,1,0,-22,-30,7,7,7
f5,2,0,1,3,7,7,7,7
f6,5,0,1,30,62,9,9,9
c1,1,0,1,-128,-126,1,1,1
f6,3,1,0,-6,-14,8,8,8
f7,0,1,0,5,4,1,1,1
c1,1,1,0,-14,-16,8,8,8
c1,0,0,1,-102,-101,0,0,0
c3,1,1,0,67,65,3,3,3
f6,5,1,0,-32,-64,0,0,0
c3,3,0,1,1,9,1,1,1
f6,1,1,0,14,12,9,9,9
c3,1,1,0,-53,-55,9,9,9
f7,7,1,0,-12,116,4,4,4
c3,3,0,1,-80,-72,1,1,1
f6,2,1,0,-2,-6,8,8,8
f6,7,0,1,34,-94,2,2,2
c3,0,0,1,24,25,1,1,1
c1,0,1,0,-17,-18,2,2,2
f7,3,1,0,-72,-80,9,9,9
f7,6,1,0,-45,-109,7,7,7
f7,7,1,0,-57,71,5,5,5
f6,2,0,1,10,14,9,9,9
f7,5,0,1,13,45,2,2,2
c1,5,0,1,22,54,6,6,6
f5,6,0,1,13,77,2,2,4
f5,5,1,0,-24,-56,1,1,1
c3,0,0,1,-18,-17,5,5,5
f7,4,1,0,17,1,5,5,8
f6,7,0,1,12,-116,2,2,2
c1,1,1,0,-17,-19,9,9,9
c1,7,1,0,-87,41,2,2,2
c3,1,1,0,-65,-67,0,0,0
c3,7,0,1,5,-123,4,4,4
c3,6,0,1,34,98,0,0,0
c3,5,1,0,-11,-43,0,0,0
f6,6,0,1,29,93,2,2,2
f5,4,0,1,-18,-2,8,8,8
c3,4,0,1,-30,-14,4,4,4
f5,1,0,1,5,7,7,7,7
c1,5,1,0,-28,-60,1,1,1
f6,1,0,1,5,7,2,2,2
c3,7,1,0,-6,122,4,4,4
c1,3,1,0,-22,-30,0,0,0
f5,4,1,0,49,33,2,2,2
f7,1,1,0,14,12,7,7,7
f7,4,1,0,18,2,4,4,4
f5,5,1,0,-75,-107,3,3,3
f5,4,0,1,0,16,3,3,3
f7,1,0,1,-27,-25,0,0,0
f7,0,1,0,19,18,0,0,0
f7,4,0,1,-23,-7,3,3,3
f5,0,1,0,-33,-34,1,1,1
f7,6,0,1,-66,-2,9,9,9
c3,7,1,0,-51,77,6,6,6
f6,5,0,1,10,42,5,5,5
f5,6,1,0,-21,-85,2,2,2
f6,2,1,0,-66,-70,5,5,5
f6,4,1,0,-16,-32,1,1,9
f6,3,0,1,-60,-52,2,2,2
f7,1,0,1,-12,-10,9,9,9
f7,3,0,1,6,14,3,3,3
f7,2,1,0,-34,-38,6,6,0
c3,5,0,1,-47,-15,4,4,4
f5,3,0,1,6,14,2,2,2
c1,3,0,1,-13,-5,0,0,0
f6,6,0,1,51,115,7,7,7
f7,1,0,1,-108,-106,1,1,1
f5,2,0,1,-56,-52,1,1,1
c1,0,0,1,40,41,2,2,2
c3,7,1,0,-64,64,1,1,1
c1,7,1,0,-36,92,5,5,5
c3,2,0,1,1,5,3,3,3
c3,7,1,0,-60,68,3,3,3
f5,3,0,1,-32,-24,4,4,9
f6,4,0,1,5,21,7,7,7
f6,2,0,1,-7,-3,8,8,8
f7,0,0,1,-26,-25,6,6,6
f7,4,1,0,30,14,5,5,5
f6,3,0,1,-12,-4,6,6,6
c1,5,0,1,29,61,1,1,1
c3,1,0,1,-79,-77,3,3,3
f5,4,1,0,60,44,8,8,8
c3,3,0,1,-62,-54,1,1,1
c1,4,0,1,-27,-11,0,0,0
f6,4,0,1,71,87,5,5,5
f7,6,1,0,-17,-81,1,1,1
f5,5,1,0,-21,-53,3,3,3
c1,7,1,0,-1,127,1,1,1
c1,3,0,1,5,13,5,5,5
c3,1,0,1,33,35,5,5,5
f6,7,1,0,-4,124,6,6,6
c3,1,0,1,76,78,1,1,1
f7,6,1,0,-12,-76,8,8,8
f7,5,0,1,21,53,5,5,5
f7,4,1,0,-9,-25,1,1,1
f6,2,1,0,36,32,7,7,7
f6,0,1,0,-7,-8,4,4,9
c1,4,1,0,94,78,4,4,4
c3,0,1,0,85,84,6,6,6
f7,0,1,0,-5,-6,2,2,2
c3,4,1,0,-44,-60,2,2,2
f7,6,1,0,-63,-127,5,5,5
c3,1,0,1,21,23,0,0,0
f6,4,0,1,-59,-43,6,6,6
f7,5,1,0,-9,-41,5,5,5
f6,2,1,0,21,17,6,6,6
f7,7,0,1,10,-118,3,3,3
f6,0,0,1,-30,-29,7,7,7
f5,4,1,0,-41,-57,2,2,2
f7,0,0,1,-42,-41,0,0,0
c3,0,0,1,18,19,8,8,8
c1,5,0,1,-37,-5,8,8,8
c1,0,1,0,-27,-28,5,5,5
f5,6,0,1,-84,-20,4,4,4
c3,4,1,0,63,47,1,1,1
f7,1,1,0,-54,-56,1,1,1
f5,3,0,1,35,43,4,4,4
f5,0,0,1,-128,-127,0,0,0
f5,6,1,0,-31,-95,2,2,3
f7,2,1,0,-2,-6,3,3,3
c1,5,0,1,-52,-20,7,7,7
c3,3,1,0,-53,-61,6,6,6
c3,3,1,0,-8,-16,1,1,1
c1,1,1,0,-18,-20,6,6,6
c1,2,1,0,-12,-16,2,2,2
f7,4,1,0,-1,-17,1,1,1
c3,0,1,0,-37,-38,9,9,9
f6,6,0,1,-95,-31,2,2,2
f7,5,0,1,-109,-77,8,8,8
f7,7,0,1,16,-112,6,6,6
f7,6,0,1,-97,-33,1,1,1
f6,1,0,1,-67,-65,9,9,9
f5,7,0,1,13,-115,5,5,5
f7,7,1,0,-16,112,2,2,2
f5,0,0,1,4,5,5,5,5
f7,3,1,0,-24,-32,4,4,4
f7,0,1,0,5,4,4,4,4
f5,1,1,0,-34,-36,2,2,2
f5,4,1,0,20,4,8,8,8
f5,3,1,0,13,5,3,3,3
f7,0,0,1,12,13,8,8,8
c1,4,1,0,-35,-51,2,2,2
f7,1,0,1,8,10,4,4,4
f6,0,1,0,-43,-44,5,5,5
f5,3,1,0,-3,-11,0,0,0
f6,7,1,0,-12,116,3,3,3
f6,0,0,1,-46,-45,1,1,1
c1,3,0,1,22,30,7,7,7
c1,7,1,0,-2,126,7,7,7
c3,7,1,0,-31,97,5,5,5
f6,6,0,1,2,66,7,7,7
f6,3,1,0,-8,-16,9,9,9
f7,2,0,1,-24,-20,7,7,7
f6,1,1,0,3,1,1,1,1
f7,0,1,0,-13,-14,9,9,9
c3,3,0,1,-60,-52,2,2,2
f7,4,0,1,-20,-4,1,1,1
f5,5,1,0,-79,-111,4,4,4
f5,1,1,0,-2,-4,2,2,2
f5,7,1,0,-23,105,9,9,9
c3,1,1,0,-66,-68,2,2,2
f6,5,1,0,-14,-46,0,0,0
c3,0,0,1,8,9,4,4,4
c3,2,0,1,11,15,9,9,9
f5,2,0,1,-22,-18,1,1,1
f7,1,1,0,11,9,4,4,4
c3,5,1,0,-87,-119,8,8,8
c3,2,0,1,-71,-67,1,1,1
c1,5,0,1,-53,-21,8,8,8
c3,5,0,1,-36,-4,4,4,4
f6,2,0,1,-5,-1,5,5,5
f6,6,1,0,-64,-128,9,9,9
f7,7,1,0,-29,99,9,9,8
c1,5,1,0,-7,-39,8,8,8
f6,0,1,0,23,22,3,3,3
f7,5,1,0,-19,-51,7,7,7
c3,2,1,0,-65,-69,6,6,6
c1,2,1,0,52,48,0,0,0
f6,2,0,1,-37,-33,0,0,0
f5,1,0,1,-44,-42,3,3,3
f6,5,1,0,-19,-51,0,0,0
f6,2,1,0,-12,-16,2,2,2
f7,7,1,0,-12,116,0,0,6
f5,3,1,0,-35,-43,6,6,6
c3,5,1,0,-81,-113,4,4,4
c1,6,0,1,26,90,9,8,9
c3,0,1,0,-11,-12,5,5,3
c1,0,1,0,41,40,3,3,3
f7,5,0,1,10,42,3,3,3
f5,7,1,0,-30,98,2,2,2
f7,5,1,0,-2,-34,3,3,3
f5,3,0,1,0,8,9,9,9
f6,7,1,0,-55,73,1,1,1
f6,5,1,0,-15,-47,2,2,2
f6,2,0,1,-6,-2,6,6,6
c3,6,0,1,12,76,8,8,8
f5,0,0,1,-42,-41,0,0,0
f6,3,1,0,-2,-10,5,5,5
f5,0,0,1,18,19,6,6,6
f7,4,0,1,-63,-47,6,6,6
f6,1,1,0,-9,-11,6,6,6
c3,3,0,1,-43,-35,3,3,3
c3,0,1,0,-21,-22,8,8,8
c1,5,1,0,-27,-59,8,8,8
f6,1,1,0,2,0,2,2,2
f7,6,0,1,13,77,7,7,7
f5,3,0,1,4,12,5,5,5
f6,6,0,1,7,71,8,8,8
f7,5,0,1,8,40,9,9,9
f6,0,0,1,-6,-5,6,6,6
f6,3,0,1,18,26,1,1,1
f5,7,1,0,-40,88,8,8,8
f6,3,1,0,26,18,4,4,4
f6,5,1,0,-21,-53,1,1,1
f5,4,0,1,15,31,2,2,2
f7,0,0,1,-10,-9,5,5,5
c3,7,1,0,-61,67,9,9,9
f6,5,0,1,-47,-15,1,1,1
f6,5,0,1,6,38,9,9,9
c1,1,0,1,65,67,7,7,7
f6,3,1,0,-116,-124,5,5,5
f6,0,0,1,-36,-35,4,4,4
c1,6,1,0,97,33,0,0,0
f6,7,1,0,-86,42,8,8,8
c3,6,0,1,27,91,9,9,9
f7,0,0,1,-24,-23,9,9,9
c3,2,0,1,1,5,1,1,1
c1,6,0,1,37,101,0,0,0
f5,5,1,0,-6,-38,5,5,5
c3,1,1,0,-2,-4,2,2,2
f6,0,1,0,-19,-20,3,3,3
c1,5,0,1,-128,-96,7,7,7
c1,2,1,0,-1,-5,8,8,8
f5,4,0,1,-21,-5,9,9,9
f6,0,0,1,-18,-17,4,4,4
f6,0,0,1,20,21,0,0,0
c1,1,1,0,-25,-27,6,6,6
f6,4,1,0,-74,-90,3,3,3
f6,3,0,1,55,63,9,9,9
f5,3,0,1,3,11,5,5,5
c3,2,1,0,-44,-48,2,2,2
f7,0,0,1,-10,-9,1,1,1
f5,3,1,0,-20,-28,3,3,3
c3,4,1,0,-37,-53,1,1,1
c1,2,1,0,12,8,3,3,3
f6,6,0,1,6,70,6,6,6
c1,6,1,0,-27,-91,5,5,5
f6,5,1,0,-10,-42,7,7,7
f6,7,0,1,28,-100,4,4,4
f5,6,0,1,31,95,2,2,2
f7,4,1,0,-6,-22,2,2,2
f6,5,1,0,-13,-45,6,6,6
f6,1,1,0,10,8,3,3,3
f5,3,1,0,-3,-11,2,2,2
f5,0,0,1,-74,-73,6,6,6
f7,5,1,0,-10,-42,5,5,5
f7,1,0,1,-19,-17,4,4,4
f7,1,0,1,0,2,8,8,8
c1,7,0,1,34,-94,9,9,9
f7,3,1,0,-8,-16,7,7,7
c1,0,1,0,5,4,1,1,1
c3,1,1,0,-5,-7,3,3,3
f6,2,1,0,-3,-7,0,0,0
f6,4,0,1,42,58,3,3,3
c3,5,1,0,-30,-62,8,8,8
f7,3,0,1,-27,-19,3,3,3
f6,6,1,0,-30,-94,1,1,1
c3,1,1,0,-13,-15,9,9,9
f7,1,0,1,9,11,3,3,3
c3,3,0,1,-43,-35,4,4,4
f5,2,1,0,-19,-23,4,4,4
f6,7,1,0,-6,122,6,6,6
f7,3,0,1,20,28,4,4,4
f7,7,0,1,18,-110,2,2,2
c3,4,1,0,-1,-17,1,1,1
f6,2,1,0,29,25,8,8,8
f5,4,0,1,-29,-13,2,2,2
c1,1,1,0,-30,-32,5,5,5
f7,7,0,1,11,-117,4,4,4
f6,4,1,0,-12,-28,8,8,8
f6,7,0,1,25,-103,8,8,8
c1,7,1,0,-36,92,4,4,4
f7,0,1,0,-19,-20,0,0,0
c1,3,1,0,-37,-45,0,0,0
f6,0,1,0,-13,-14,2,2,2
f7,6,1,0,-13,-77,3,3,3
c3,7,1,0,-10,118,2,2,2
f6,5,0,1,19,51,7,7,7
f5,3,1,0,-8,-16,7,7,7
c3,1,0,1,25,27,0,0,0
f7,5,0,1,-46,-14,8,8,8
c3,7,0,1,12,-116,7,7,7
f6,3,0,1,0,8,4,4,4
c1,0,0,1,22,23,4,4,4
f7,7,1,0,-4,124,7,7,7
c3,7,1,0,-66,62,9,9,9
f7,4,1,0,-15,-31,6,6,6
c1,4,1,0,22,6,9,9,9
c1,4,0,1,-127,-111,0,0,0
f7,4,1,0,17,1,9,9,9
f5,7,1,0,-22,106,8,8,8
c1,0,0,1,-12,-11,0,0,0
c3,4,1,0,-69,-85,4,4,4
f7,2,0,1,0,4,6,6,6
c3,1,1,0,-74,-76,0,0,0
f7,3,0,1,51,59,6,6,6
f6,1,0,1,5,7,3,3,3
f5,2,1,0,-3,-7,5,5,5
c1,1,1,0,3,1,4,4,4
f5,1,1,0,-46,-48,8,8,8
c1,7,0,1,87,-41,3,3,3
f5,3,1,0,-23,-31,3,3,3
c1,5,1,0,-1,-33,9,9,9
f5,4,1,0,-43,-59,3,3,3
f7,5,0,1,7,39,3,3,3
f6,0,0,1,6,7,3,3,3
f5,3,0,1,3,11,7,7,7
f6,3,0,1,-63,-55,8,8,8
f6,1,1,0,-2,-4,0,0,0
f7,7,0,1,8,-120,2,2,8
c1,7,1,0,-45,83,2,7,2
f5,0,1,0,-39,-40,1,1,1
f5,6,0,1,2,66,7,7,7
f6,2,1,0,-100,-104,0,0,0
f5,0,1,0,47,46,6,6,6
c3,1,1,0,-21,-23,5,5,5
c3,1,1,0,-98,-100,4,4,4
f7,2,1,0,-76,-80,3,3,3
f6,1,0,1,61,63,2,2,8
f5,5,0,1,14,46,0,0,0
f5,3,1,0,-7,-15,9,9,9
f5,3,0,1,-41,-33,6,6,6
f5,3,0,1,-10,-2,3,3,3
f5,3,1,0,-22,-30,8,8,8
f5,7,1,0,-3,125,0,0,0
c1,6,0,1,33,97,9,9,9
c3,2,1,0,-25,-29,9,9,9
c1,4,1,0,54,38,6,6,6
f7,0,0,1,-122,-121,8,8,8
f7,5,0,1,-38,-6,6,6,6
c1,4,1,0,-13,-29,8,8,8
f6,5,1,0,-11,-43,5,5,5
f7,2,0,1,43,47,7,7,7
c1,4,0,1,38,54,8,8,8
f5,2,0,1,-5,-1,6,6,6
c1,6,0,1,-128,-64,0,0,0
f7,7,1,0,-10,118,2,2,2
f7,0,0,1,4,5,4,4,4
f7,6,1,0,-15,-79,0,0,0
f5,0,1,0,-31,-32,2,2,2
f6,1,0,1,-60,-58,2,2,2
f7,3,0,1,-48,-40,3,3,3
f6,4,0,1,-22,-6,1,1,1
f6,2,0,1,-13,-9,9,9,9
f7,0,0,1,-32,-31,7,7,7
f7,1,1,0,-9,-11,5,5,5
c1,1,1,0,22,20,1,1,1
f5,7,0,1,4,-124,0,0,0
c1,6,0,1,-127,-63,8,8,8
f7,4,0,1,-31,-15,4,4,4
f5,2,0,1,11,15,6,6,6
f5,3,0,1,53,61,2,2,2
c3,6,0,1,-87,-23,6,6,6
f7,2,1,0,-20,-24,7,7,7
f5,5,0,1,20,52,9,9,9
f5,3,1,0,-2,-10,3,3,3
c1,4,1,0,29,13,2,2,2
f5,7,1,0,-113,15,9,9,9
f5,7,0,1,2,-126,8,8,8
c3,6,0,1,-97,-33,2,2,2
c1,0,0,1,110,111,2,2,2
c3,0,0,1,-42,-41,9,9,9
f6,7,1,0,-53,75,2,2,2
c3,5,1,0,-29,-61,7,7,7
f5,1,1,0,-5,-7,3,3,3
f6,3,0,1,-28,-20,5,5,5
c1,3,1,0,-24,-32,9,9,9
c3,4,1,0,-7,-23,1,1,1
f5,0,0,1,-116,-115,8,8,8
f5,0,0,1,-2,-1,0,0,0
c1,5,1,0,36,4,2,2,2
c3,5,1,0,-22,-54,0,0,0
c3,5,0,1,8,40,5,5,5
f7,1,1,0,7,5,2,2,2
f6,0,1,0,-25,-26,1,1,1
c1,5,0,1,-39,-7,3,3,3
c3,1,0,1,9,11,7,7,7
f5,7,0,1,1,-127,6,6,6
c1,0,0,1,-32,-31,7,7,7
c1,4,0,1,-64,-48,1,1,1
f7,2,0,1,-6,-2,2,2,2
c3,6,0,1,24,88,5,5,5
f5,6,1,0,-14,-78,8,8,8
f5,4,0,1,-18,-2,0,0,0
c1,5,0,1,-45,-13,3,3,3
c1,0,0,1,-58,-57,7,7,7
c3,3,1,0,-66,-74,1,1,2
c3,2,1,0,52,48,4,4,4
f5,5,0,1,-54,-22,0,0,0
c3,3,0,1,33,41,9,9,9
f7,6,0,1,5,69,1,1,1
f7,5,1,0,-20,-52,8,8,8
c3,4,1,0,-100,-116,6,6,6
c3,6,1,0,-38,-102,7,7,7
f5,2,1,0,-20,-24,7,7,7
f6,2,1,0,45,41,4,4,4
f5,5,1,0,-17,-49,3,3,3
f6,1,0,1,-124,-122,4,4,4
c1,4,1,0,57,41,9,9,9
c3,0,0,1,2,3,1,1,1
c3,7,1,0,-81,47,9,9,9
c1,0,0,1,28,29,5,5,5
f7,1,1,0,-17,-19,1,1,1
f5,2,0,1,9,13,7,7,7
f5,7,1,0,-18,110,3,3,3
c3,5,1,0,-7,-39,9,9,9
f7,1,0,1,13,15,7,7,7
f6,3,1,0,14,6,6,6,6
f7,5,0,1,-63,-31,9,9,9
f6,2,1,0,20,16,1,1,1
f6,5,0,1,28,60,3,3,3
f6,6,0,1,3,67,7,7,7
f5,2,1,0,-3,-7,8,8,8
f7,7,1,0,-37,91,3,3,3
